slug,question,tags,end_date,n_trades,win_rate,total_pnl,sharpe,avg_spread,exit_reasons,error,skipped
highest-temperature-in-seattle-on-march-10-2026-40-41f,Will the highest temperature in Seattle be between 40-41°F on March 10?,,2026-03-10T12:00:00+00:00,0,0.0000,0.000000,0.0000,0.1076,{},,spread=0.108>0.030
highest-temperature-in-seattle-on-march-10-2026-38-39f,Will the highest temperature in Seattle be between 38-39°F on March 10?,,2026-03-10T12:00:00+00:00,0,0.0000,0.000000,0.0000,0.0811,{},,spread=0.081>0.030
cwbb-kenest-del-2026-03-10,Kennesaw State Owls vs. Delaware Fightin' Blue Hens (W),,2026-03-10T16:30:00+00:00,0,0.0000,0.000000,0.0000,0.5510,{},,spread=0.551>0.030
will-mrbeasts-next-video-get-less-than-46-million-views-on-day-3,Will MrBeast's next video get less than 46 million views on day 3?,,2026-03-08T00:00:00+00:00,0,0.0000,0.000000,0.0000,0.0000,{},"No price data for token label 'Yes' in market 'will-mrbeasts-next-video-get-less-than-46-million-views-on-day-3'. Available labels: ['No', 'Yes']",
cbb-bayl-arzst-2026-03-10,Baylor Bears vs. Arizona State Sun Devils,,2026-03-10T16:30:00+00:00,0,0.0000,0.000000,0.0000,0.1581,{},,spread=0.158>0.030
bnb-up-or-down-march-10-2pm-et,"BNB Up or Down - March 10, 2PM ET",,2026-03-10T19:00:00+00:00,0,0.0000,0.000000,0.0000,0.0205,{},,
hype-up-or-down-march-10-2pm-et,"HYPE Up or Down - March 10, 2PM ET",,2026-03-10T19:00:00+00:00,0,0.0000,0.000000,0.0000,0.8967,{},,spread=0.897>0.030
xrp-up-or-down-march-10-2pm-et,"XRP Up or Down - March 10, 2PM ET",,2026-03-10T19:00:00+00:00,0,0.0000,0.000000,0.0000,0.0200,{},,
solana-up-or-down-march-10-2pm-et,"Solana Up or Down - March 10, 2PM ET",,2026-03-10T19:00:00+00:00,0,0.0000,0.000000,0.0000,0.0200,{},,
ethereum-up-or-down-march-10-2pm-et,"Ethereum Up or Down - March 10, 2PM ET",,2026-03-10T19:00:00+00:00,0,0.0000,0.000000,0.0000,0.0198,{},,
bitcoin-up-or-down-march-10-2pm-et,"Bitcoin Up or Down - March 10, 2PM ET",,2026-03-10T19:00:00+00:00,0,0.0000,0.000000,0.0000,0.0189,{},,
bnb-up-or-down-march-10-1pm-et,"BNB Up or Down - March 10, 1PM ET",,2026-03-10T18:00:00+00:00,0,0.0000,0.000000,0.0000,0.0206,{},,
hype-up-or-down-march-10-1pm-et,"HYPE Up or Down - March 10, 1PM ET",,2026-03-10T18:00:00+00:00,0,0.0000,0.000000,0.0000,0.8932,{},,spread=0.893>0.030
xrp-up-or-down-march-10-1pm-et,"XRP Up or Down - March 10, 1PM ET",,2026-03-10T18:00:00+00:00,0,0.0000,0.000000,0.0000,0.0200,{},,
